global step=512, episodic return=23.867408752441406
global step=640, episodic return=24.783924102783203
global step=672, episodic return=29.807037353515625
global step=768, episodic return=27.690959930419922
global step=800, episodic return=31.251262664794922
global step=832, episodic return=26.565114974975586
global step=864, episodic return=24.15645980834961
global step=992, episodic return=19.189579010009766
global step=1024, episodic return=28.572771072387695
global step=1024, episodic return=32.8380126953125
global step=1152, episodic return=28.219627380371094
global step=1152, episodic return=36.71371841430664
global step=1216, episodic return=31.953269958496094
global step=1472, episodic return=49.27444839477539
global step=1568, episodic return=66.52664947509766
global step=1600, episodic return=57.85626220703125
global step=1632, episodic return=67.13007354736328
global step=1664, episodic return=74.41258239746094
global step=1664, episodic return=33.963722229003906
global step=1664, episodic return=43.73722839355469
global step=1696, episodic return=33.41288757324219
global step=1792, episodic return=70.5296401977539
global step=1792, episodic return=61.95992660522461
global step=1888, episodic return=15.775259017944336
global step=1952, episodic return=22.21201515197754
global step=2048, episodic return=42.97699737548828
global step=2176, episodic return=68.84072875976562
global step=2208, episodic return=78.54471588134766
global step=2272, episodic return=35.68813705444336
global step=2272, episodic return=38.09492492675781
global step=2336, episodic return=78.19043731689453
global step=2464, episodic return=21.911867141723633
global step=2496, episodic return=68.17599487304688
global step=2560, episodic return=108.34793853759766
global step=2624, episodic return=50.66891860961914
global step=2848, episodic return=25.478641510009766
global step=2880, episodic return=72.98661804199219
global step=2944, episodic return=41.44645309448242
global step=2976, episodic return=72.6623764038086
global step=3008, episodic return=18.802114486694336
global step=3040, episodic return=25.747482299804688
global step=3136, episodic return=53.168701171875
global step=3168, episodic return=46.2928466796875
global step=3424, episodic return=46.81163787841797
global step=3456, episodic return=89.52383422851562
global step=3552, episodic return=19.40921974182129
global step=3616, episodic return=13.254222869873047
global step=3648, episodic return=136.34104919433594
global step=3648, episodic return=60.07451629638672
global step=3680, episodic return=89.58740997314453
global step=3680, episodic return=89.9788589477539
global step=3808, episodic return=56.5810661315918
global step=3904, episodic return=33.91383743286133
global step=3936, episodic return=32.545406341552734
global step=4032, episodic return=37.35940170288086
global step=4128, episodic return=96.44426727294922
global step=4288, episodic return=30.807371139526367
global step=4480, episodic return=20.896005630493164
global step=4544, episodic return=13.738368034362793
global step=4640, episodic return=45.302101135253906
global step=4640, episodic return=51.606937408447266
global step=4736, episodic return=180.08096313476562
global step=4768, episodic return=42.49549102783203
global step=4768, episodic return=35.31574630737305
global step=4896, episodic return=74.83184051513672
global step=5088, episodic return=53.26228713989258
global step=5120, episodic return=84.05854797363281
global step=5184, episodic return=35.165714263916016
global step=5216, episodic return=89.1438980102539
global step=5312, episodic return=27.225238800048828
global step=5376, episodic return=46.68661117553711
global step=5408, episodic return=141.741455078125
global step=5472, episodic return=34.775726318359375
global step=5504, episodic return=66.29219055175781
global step=5504, episodic return=24.506752014160156
global step=5536, episodic return=121.2665023803711
global step=5600, episodic return=27.757768630981445
global step=5664, episodic return=47.94644546508789
global step=5696, episodic return=142.93997192382812
global step=5920, episodic return=157.5414276123047
global step=6016, episodic return=13.737895965576172
global step=6112, episodic return=56.21000289916992
global step=6176, episodic return=33.1534423828125
global step=6208, episodic return=72.02924346923828
global step=6208, episodic return=30.71834945678711
global step=6240, episodic return=28.13843536376953
global step=6240, episodic return=20.798809051513672
global step=6272, episodic return=88.29011535644531
global step=6400, episodic return=36.105838775634766
global step=6656, episodic return=187.25698852539062
global step=6656, episodic return=18.17070960998535
